Year,Country,Measure,Age,Value
2011,Ireland,INCAC7,TOT,19480.00
2012,Ireland,INCAC7,TOT,21669.00
2013,Ireland,INCAC7,TOT,20747.00
2006,Ireland,PVT5B,TOT,0.345
2007,Ireland,PVT5B,TOT,0.359
2008,Ireland,PVT5B,TOT,0.391
2009,Ireland,PVT5B,TOT,0.426
2010,Ireland,PVT5B,TOT,0.438
2011,Ireland,PVT5B,TOT,0.416
2012,Ireland,PVT5B,TOT,0.427
2013,Ireland,PVT5B,TOT,0.41
2014,Ireland,PVT5B,TOT,0.385
2015,Ireland,PVT5B,TOT,0.376
2016,Ireland,PVT5B,TOT,0.354
2017,Ireland,PVT5B,TOT,0.34
2018,Ireland,PVT5B,TOT,0.338
2006,Ireland,PVT5B,TOT,0.344
2007,Ireland,PVT5B,TOT,0.359
2008,Ireland,PVT5B,TOT,0.392
2009,Ireland,PVT5B,TOT,0.426
2010,Ireland,PVT5B,TOT,0.439
2011,Ireland,PVT5B,TOT,0.414
2012,Ireland,PVT5B,TOT,0.421
2013,Ireland,PVT5B,TOT,0.405
2006,Ireland,PVT5A,TOT,0.114
2007,Ireland,PVT5A,TOT,0.096
2008,Ireland,PVT5A,TOT,0.091
2009,Ireland,PVT5A,TOT,0.088
2010,Ireland,PVT5A,TOT,0.091
2011,Ireland,PVT5A,TOT,0.1
2012,Ireland,PVT5A,TOT,0.094
2013,Ireland,PVT5A,TOT,0.095
2014,Ireland,PVT5A,TOT,0.093
2015,Ireland,PVT5A,TOT,0.098
2016,Ireland,PVT5A,TOT,0.091
2017,Ireland,PVT5A,TOT,0.09
2018,Ireland,PVT5A,TOT,0.074
2006,Ireland,PVT5A,TOT,0.113
2007,Ireland,PVT5A,TOT,0.096
2008,Ireland,PVT5A,TOT,0.089
2009,Ireland,PVT5A,TOT,0.088
2010,Ireland,PVT5A,TOT,0.091
2011,Ireland,PVT5A,TOT,0.094
2012,Ireland,PVT5A,TOT,0.083
2013,Ireland,PVT5A,TOT,0.088
2006,Ireland,PMEAN5A,TOT,0.221
2007,Ireland,PMEAN5A,TOT,0.215
2008,Ireland,PMEAN5A,TOT,0.23
2009,Ireland,PMEAN5A,TOT,0.305
2010,Ireland,PMEAN5A,TOT,0.329
2011,Ireland,PMEAN5A,TOT,0.301
2012,Ireland,PMEAN5A,TOT,0.296
2013,Ireland,PMEAN5A,TOT,0.309
2006,Ireland,PMED5A,TOT,0.169
2007,Ireland,PMED5A,TOT,0.163
2008,Ireland,PMED5A,TOT,0.137
2009,Ireland,PMED5A,TOT,0.16
2010,Ireland,PMED5A,TOT,0.227
2011,Ireland,PMED5A,TOT,0.197
2012,Ireland,PMED5A,TOT,0.2
2013,Ireland,PMED5A,TOT,0.167
2006,Ireland,PVTAATOTAL,TOT,0.113
2007,Ireland,PVTAATOTAL,TOT,0.096
2008,Ireland,PVTAATOTAL,TOT,0.089
2009,Ireland,PVTAATOTAL,TOT,0.088
2010,Ireland,PVTAATOTAL,TOT,0.091
2011,Ireland,PVTAATOTAL,TOT,0.094
2012,Ireland,PVTAATOTAL,TOT,0.083
2013,Ireland,PVTAATOTAL,TOT,0.088
2006,Ireland,PVT6B,TOT,0.386
2007,Ireland,PVT6B,TOT,0.395
2008,Ireland,PVT6B,TOT,0.438
2009,Ireland,PVT6B,TOT,0.465
2010,Ireland,PVT6B,TOT,0.474
2011,Ireland,PVT6B,TOT,0.458
2012,Ireland,PVT6B,TOT,0.458
2013,Ireland,PVT6B,TOT,0.443
2014,Ireland,PVT6B,TOT,0.423
2015,Ireland,PVT6B,TOT,0.413
2016,Ireland,PVT6B,TOT,0.392
2017,Ireland,PVT6B,TOT,0.378
2018,Ireland,PVT6B,TOT,0.373
2006,Ireland,PVT6B,TOT,0.385
2007,Ireland,PVT6B,TOT,0.395
2008,Ireland,PVT6B,TOT,0.438
2009,Ireland,PVT6B,TOT,0.464
2010,Ireland,PVT6B,TOT,0.473
2011,Ireland,PVT6B,TOT,0.452
2012,Ireland,PVT6B,TOT,0.452
2013,Ireland,PVT6B,TOT,0.437
2006,Ireland,PVT6A,TOT,0.199
2007,Ireland,PVT6A,TOT,0.186
2008,Ireland,PVT6A,TOT,0.17
2009,Ireland,PVT6A,TOT,0.157
2010,Ireland,PVT6A,TOT,0.157
2011,Ireland,PVT6A,TOT,0.17
2012,Ireland,PVT6A,TOT,0.164
2013,Ireland,PVT6A,TOT,0.171
2014,Ireland,PVT6A,TOT,0.175
2015,Ireland,PVT6A,TOT,0.186
2016,Ireland,PVT6A,TOT,0.172
2017,Ireland,PVT6A,TOT,0.171
2018,Ireland,PVT6A,TOT,0.145
2006,Ireland,PVT6A,TOT,0.199
2007,Ireland,PVT6A,TOT,0.186
2008,Ireland,PVT6A,TOT,0.167
2009,Ireland,PVT6A,TOT,0.155
2010,Ireland,PVT6A,TOT,0.156
2011,Ireland,PVT6A,TOT,0.162
2012,Ireland,PVT6A,TOT,0.149
2013,Ireland,PVT6A,TOT,0.157
2006,Ireland,PMEAN6A,TOT,0.232
2007,Ireland,PMEAN6A,TOT,0.222
2008,Ireland,PMEAN6A,TOT,0.231
2009,Ireland,PMEAN6A,TOT,0.272
2010,Ireland,PMEAN6A,TOT,0.292
2011,Ireland,PMEAN6A,TOT,0.275
2012,Ireland,PMEAN6A,TOT,0.266
2013,Ireland,PMEAN6A,TOT,0.272
2006,Ireland,PMED6A,TOT,0.199
2007,Ireland,PMED6A,TOT,0.174
2008,Ireland,PMED6A,TOT,0.185
2009,Ireland,PMED6A,TOT,0.186
2010,Ireland,PMED6A,TOT,0.216
2011,Ireland,PMED6A,TOT,0.198
2012,Ireland,PMED6A,TOT,0.196
2013,Ireland,PMED6A,TOT,0.191
2006,Ireland,P90P10,TOT,4.00
2007,Ireland,P90P10,TOT,3.8
2008,Ireland,P90P10,TOT,3.7
2009,Ireland,P90P10,TOT,3.9
2010,Ireland,P90P10,TOT,3.7
2011,Ireland,P90P10,TOT,3.9
2012,Ireland,P90P10,TOT,3.9
2013,Ireland,P90P10,TOT,3.9
2014,Ireland,P90P10,TOT,3.7
2015,Ireland,P90P10,TOT,3.7
2016,Ireland,P90P10,TOT,3.8
2017,Ireland,P90P10,TOT,3.6
2018,Ireland,P90P10,TOT,3.5
2006,Ireland,P90P10,TOT,4.00
2007,Ireland,P90P10,TOT,3.7
2008,Ireland,P90P10,TOT,3.7
2009,Ireland,P90P10,TOT,3.8
2010,Ireland,P90P10,TOT,3.8
2011,Ireland,P90P10,TOT,3.8
2012,Ireland,P90P10,TOT,3.8
2013,Ireland,P90P10,TOT,3.7
2006,Ireland,P90P50,TOT,1.9
2007,Ireland,P90P50,TOT,1.9
2008,Ireland,P90P50,TOT,1.9
2009,Ireland,P90P50,TOT,2.00
2010,Ireland,P90P50,TOT,1.9
2011,Ireland,P90P50,TOT,2.00
2012,Ireland,P90P50,TOT,2.00
2013,Ireland,P90P50,TOT,2.00
2014,Ireland,P90P50,TOT,1.9
2015,Ireland,P90P50,TOT,1.8
2016,Ireland,P90P50,TOT,2.00
2017,Ireland,P90P50,TOT,1.8
2018,Ireland,P90P50,TOT,1.9
2006,Ireland,P90P50,TOT,1.9
2007,Ireland,P90P50,TOT,1.9
2008,Ireland,P90P50,TOT,1.9
2009,Ireland,P90P50,TOT,2.00
2010,Ireland,P90P50,TOT,1.9
2011,Ireland,P90P50,TOT,1.9
2012,Ireland,P90P50,TOT,2.00
2013,Ireland,P90P50,TOT,2.00
2006,Ireland,P50P10,TOT,2.1
2007,Ireland,P50P10,TOT,2.00
2008,Ireland,P50P10,TOT,2.00
2009,Ireland,P50P10,TOT,1.9
2010,Ireland,P50P10,TOT,1.9
2011,Ireland,P50P10,TOT,2.00
2012,Ireland,P50P10,TOT,1.9
2013,Ireland,P50P10,TOT,2.00
2014,Ireland,P50P10,TOT,2.00
2015,Ireland,P50P10,TOT,2.00
2016,Ireland,P50P10,TOT,1.9
2017,Ireland,P50P10,TOT,2.00
2018,Ireland,P50P10,TOT,1.9
2006,Ireland,P50P10,TOT,2.1
2007,Ireland,P50P10,TOT,2.00
2008,Ireland,P50P10,TOT,2.00
2009,Ireland,P50P10,TOT,1.9
2010,Ireland,P50P10,TOT,1.9
2011,Ireland,P50P10,TOT,2.00
2012,Ireland,P50P10,TOT,1.9
2013,Ireland,P50P10,TOT,1.9
2006,Ireland,S80S20,TOT,5.00
2007,Ireland,S80S20,TOT,4.6
2008,Ireland,S80S20,TOT,4.5
2009,Ireland,S80S20,TOT,4.9
2010,Ireland,S80S20,TOT,4.6
2011,Ireland,S80S20,TOT,4.9
2012,Ireland,S80S20,TOT,4.8
2013,Ireland,S80S20,TOT,4.9
2014,Ireland,S80S20,TOT,4.6
2015,Ireland,S80S20,TOT,4.5
2016,Ireland,S80S20,TOT,4.7
2017,Ireland,S80S20,TOT,4.4
2018,Ireland,S80S20,TOT,4.3
2006,Ireland,S80S20,TOT,4.9
2007,Ireland,S80S20,TOT,4.6
2008,Ireland,S80S20,TOT,4.4
2009,Ireland,S80S20,TOT,4.9
2010,Ireland,S80S20,TOT,4.6
2011,Ireland,S80S20,TOT,4.7
2012,Ireland,S80S20,TOT,4.6
2013,Ireland,S80S20,TOT,4.8
2006,Ireland,IND,TOT,4357029.00
2007,Ireland,IND,TOT,4436762.00
2008,Ireland,IND,TOT,4468041.00
2009,Ireland,IND,TOT,4475328.00
2010,Ireland,IND,TOT,4487049.00
2011,Ireland,IND,TOT,4588371.00
2012,Ireland,IND,TOT,4601467.00
2013,Ireland,IND,TOT,4674343.00
2014,Ireland,IND,TOT,4641898.00
2015,Ireland,IND,TOT,4683666.00
2016,Ireland,IND,TOT,4803525.00
2017,Ireland,IND,TOT,4861100.00
2018,Ireland,IND,TOT,4987510.00
2006,Ireland,IND,TOT,4355600.00
2007,Ireland,IND,TOT,4436762.00
2008,Ireland,IND,TOT,4464949.00
2009,Ireland,IND,TOT,4473724.00
2010,Ireland,IND,TOT,4481638.00
2011,Ireland,IND,TOT,4587222.00
2012,Ireland,IND,TOT,4601467.00
2013,Ireland,IND,TOT,4609511.00
2006,Ireland,SHA1,TOT,0.28
2007,Ireland,SHA1,TOT,0.269
2008,Ireland,SHA1,TOT,0.269
2009,Ireland,SHA1,TOT,0.277
2010,Ireland,SHA1,TOT,0.269
2011,Ireland,SHA1,TOT,0.272
2012,Ireland,SHA1,TOT,0.276
2013,Ireland,SHA1,TOT,0.275
2014,Ireland,SHA1,TOT,0.278
2015,Ireland,SHA1,TOT,0.279
2016,Ireland,SHA1,TOT,0.266
2017,Ireland,SHA1,TOT,0.268
2018,Ireland,SHA1,TOT,0.265
2006,Ireland,SHA1,TOT,0.271
2007,Ireland,SHA1,TOT,0.261
2008,Ireland,SHA1,TOT,0.263
2009,Ireland,SHA1,TOT,0.27
2010,Ireland,SHA1,TOT,0.262
2011,Ireland,SHA1,TOT,0.266
2012,Ireland,SHA1,TOT,0.265
2013,Ireland,SHA1,TOT,0.267
2006,Ireland,SHA2,TOT,0.13
2007,Ireland,SHA2,TOT,0.13
2008,Ireland,SHA2,TOT,0.12
2009,Ireland,SHA2,TOT,0.096
2010,Ireland,SHA2,TOT,0.099
2011,Ireland,SHA2,TOT,0.096
2012,Ireland,SHA2,TOT,0.092
2013,Ireland,SHA2,TOT,0.094
2014,Ireland,SHA2,TOT,0.09
2015,Ireland,SHA2,TOT,0.09
2016,Ireland,SHA2,TOT,0.096
2017,Ireland,SHA2,TOT,0.089
2018,Ireland,SHA2,TOT,0.092
2006,Ireland,SHA2,TOT,0.132
2007,Ireland,SHA2,TOT,0.131
2008,Ireland,SHA2,TOT,0.12
2009,Ireland,SHA2,TOT,0.099
2010,Ireland,SHA2,TOT,0.1
2011,Ireland,SHA2,TOT,0.098
2012,Ireland,SHA2,TOT,0.097
2013,Ireland,SHA2,TOT,0.098
2006,Ireland,SHA3,TOT,0.188
2007,Ireland,SHA3,TOT,0.194
2008,Ireland,SHA3,TOT,0.202
2009,Ireland,SHA3,TOT,0.221
2010,Ireland,SHA3,TOT,0.219
2011,Ireland,SHA3,TOT,0.221
2012,Ireland,SHA3,TOT,0.216
2013,Ireland,SHA3,TOT,0.205
2014,Ireland,SHA3,TOT,0.2
2015,Ireland,SHA3,TOT,0.191
2016,Ireland,SHA3,TOT,0.191
2017,Ireland,SHA3,TOT,0.189
2018,Ireland,SHA3,TOT,0.187
2006,Ireland,SHA3,TOT,0.188
2007,Ireland,SHA3,TOT,0.196
2008,Ireland,SHA3,TOT,0.203
2009,Ireland,SHA3,TOT,0.216
2010,Ireland,SHA3,TOT,0.216
2011,Ireland,SHA3,TOT,0.219
2012,Ireland,SHA3,TOT,0.213
2013,Ireland,SHA3,TOT,0.201
2006,Ireland,SHA4,TOT,0.139
2007,Ireland,SHA4,TOT,0.137
2008,Ireland,SHA4,TOT,0.132
2009,Ireland,SHA4,TOT,0.128
2010,Ireland,SHA4,TOT,0.131
2011,Ireland,SHA4,TOT,0.131
2012,Ireland,SHA4,TOT,0.128
2013,Ireland,SHA4,TOT,0.135
2014,Ireland,SHA4,TOT,0.136
2015,Ireland,SHA4,TOT,0.143
2016,Ireland,SHA4,TOT,0.139
2017,Ireland,SHA4,TOT,0.143
2018,Ireland,SHA4,TOT,0.144
2006,Ireland,SHA4,TOT,0.14
2007,Ireland,SHA4,TOT,0.136
2008,Ireland,SHA4,TOT,0.129
2009,Ireland,SHA4,TOT,0.131
2010,Ireland,SHA4,TOT,0.13
2011,Ireland,SHA4,TOT,0.129
2012,Ireland,SHA4,TOT,0.127
2013,Ireland,SHA4,TOT,0.135
2006,Ireland,SHA5,TOT,0.165
2007,Ireland,SHA5,TOT,0.171
2008,Ireland,SHA5,TOT,0.177
2009,Ireland,SHA5,TOT,0.174
2010,Ireland,SHA5,TOT,0.175
2011,Ireland,SHA5,TOT,0.173
2012,Ireland,SHA5,TOT,0.178
2013,Ireland,SHA5,TOT,0.177
2014,Ireland,SHA5,TOT,0.18
2015,Ireland,SHA5,TOT,0.179
2016,Ireland,SHA5,TOT,0.186
2017,Ireland,SHA5,TOT,0.185
2018,Ireland,SHA5,TOT,0.184
2006,Ireland,SHA5,TOT,0.167
2007,Ireland,SHA5,TOT,0.174
2008,Ireland,SHA5,TOT,0.181
2009,Ireland,SHA5,TOT,0.177
2010,Ireland,SHA5,TOT,0.179
2011,Ireland,SHA5,TOT,0.178
2012,Ireland,SHA5,TOT,0.183
2013,Ireland,SHA5,TOT,0.179
2006,Ireland,SHA6,TOT,0.056
2007,Ireland,SHA6,TOT,0.056
2008,Ireland,SHA6,TOT,0.06
2009,Ireland,SHA6,TOT,0.064
2010,Ireland,SHA6,TOT,0.065
2011,Ireland,SHA6,TOT,0.066
2012,Ireland,SHA6,TOT,0.065
2013,Ireland,SHA6,TOT,0.07
2014,Ireland,SHA6,TOT,0.072
2015,Ireland,SHA6,TOT,0.073
2016,Ireland,SHA6,TOT,0.072
2017,Ireland,SHA6,TOT,0.076
2018,Ireland,SHA6,TOT,0.072
2006,Ireland,SHA6,TOT,0.058
2007,Ireland,SHA6,TOT,0.058
2008,Ireland,SHA6,TOT,0.061
2009,Ireland,SHA6,TOT,0.065
2010,Ireland,SHA6,TOT,0.066
2011,Ireland,SHA6,TOT,0.068
2012,Ireland,SHA6,TOT,0.067
2013,Ireland,SHA6,TOT,0.073
2006,Ireland,SHA7,TOT,0.042
2007,Ireland,SHA7,TOT,0.041
2008,Ireland,SHA7,TOT,0.04
2009,Ireland,SHA7,TOT,0.04
2010,Ireland,SHA7,TOT,0.042
2011,Ireland,SHA7,TOT,0.04
2012,Ireland,SHA7,TOT,0.045
2013,Ireland,SHA7,TOT,0.045
2014,Ireland,SHA7,TOT,0.045
2015,Ireland,SHA7,TOT,0.046
2016,Ireland,SHA7,TOT,0.049
2017,Ireland,SHA7,TOT,0.05
2018,Ireland,SHA7,TOT,0.054
2006,Ireland,SHA7,TOT,0.043
2007,Ireland,SHA7,TOT,0.044
2008,Ireland,SHA7,TOT,0.042
2009,Ireland,SHA7,TOT,0.042
2010,Ireland,SHA7,TOT,0.046
2011,Ireland,SHA7,TOT,0.044
2012,Ireland,SHA7,TOT,0.048
2013,Ireland,SHA7,TOT,0.047
2006,Ireland,HHD,TOT,1540600.00
2007,Ireland,HHD,TOT,1594600.00
2008,Ireland,HHD,TOT,1644440.00
2009,Ireland,HHD,TOT,1666762.00
2010,Ireland,HHD,TOT,1662707.00
2011,Ireland,HHD,TOT,1705723.00
2012,Ireland,HHD,TOT,1709712.00
2013,Ireland,HHD,TOT,1705797.00
2014,Ireland,HHD,TOT,1713815.00
2015,Ireland,HHD,TOT,1728392.00
2016,Ireland,HHD,TOT,1800436.00
2017,Ireland,HHD,TOT,1850387.00
2018,Ireland,HHD,TOT,1892482.00
2006,Ireland,HHD,TOT,1540243.00
2007,Ireland,HHD,TOT,1594600.00
2008,Ireland,HHD,TOT,1643759.00
2009,Ireland,HHD,TOT,1666361.00
2010,Ireland,HHD,TOT,1661463.00
2011,Ireland,HHD,TOT,1705579.00
2012,Ireland,HHD,TOT,1709712.00
2013,Ireland,HHD,TOT,1706900.00
2006,Italy,GINI,TOT,0.324
2007,Italy,GINI,TOT,0.313
2008,Italy,GINI,TOT,0.317
2009,Italy,GINI,TOT,0.315
2010,Italy,GINI,TOT,0.327
2011,Italy,GINI,TOT,0.327
2012,Italy,GINI,TOT,0.33
2013,Italy,GINI,TOT,0.325
2014,Italy,GINI,TOT,0.326
2015,Italy,GINI,TOT,0.333
2016,Italy,GINI,TOT,0.327
2017,Italy,GINI,TOT,0.334
2018,Italy,GINI,TOT,0.33
2008,Italy,GINI,TOT,0.317
2009,Italy,GINI,TOT,0.315
2010,Italy,GINI,TOT,0.321
2011,Italy,GINI,TOT,0.326
2012,Italy,GINI,TOT,0.329
2013,Italy,GINI,TOT,0.324
2006,Italy,CPI2010,TOT,92.8746
2007,Italy,CPI2010,TOT,94.574
2008,Italy,CPI2010,TOT,97.7401
2009,Italy,CPI2010,TOT,98.4974
2010,Italy,CPI2010,TOT,100.00
2011,Italy,CPI2010,TOT,102.7806
2012,Italy,CPI2010,TOT,105.9066
2013,Italy,CPI2010,TOT,107.1986
2014,Italy,CPI2010,TOT,107.457
2015,Italy,CPI2010,TOT,107.4987
2016,Italy,CPI2010,TOT,107.3976
2017,Italy,CPI2010,TOT,108.7149
2018,Italy,CPI2010,TOT,109.9515
2008,Italy,CPI2010,TOT,97.7401
2009,Italy,CPI2010,TOT,98.4974
2010,Italy,CPI2010,TOT,100.00
2011,Italy,CPI2010,TOT,102.7806
2012,Italy,CPI2010,TOT,105.9066
2013,Italy,CPI2010,TOT,107.1986
2006,Italy,PVTAA1,TOT,0.155
2007,Italy,PVTAA1,TOT,0.155
2008,Italy,PVTAA1,TOT,0.161
2009,Italy,PVTAA1,TOT,0.171
2010,Italy,PVTAA1,TOT,0.18
2011,Italy,PVTAA1,TOT,0.178
2012,Italy,PVTAA1,TOT,0.177
2013,Italy,PVTAA1,TOT,0.177
2014,Italy,PVTAA1,TOT,0.193
2015,Italy,PVTAA1,TOT,0.183
2016,Italy,PVTAA1,TOT,0.173
2017,Italy,PVTAA1,TOT,0.187
2018,Italy,PVTAA1,TOT,0.18
2008,Italy,PVTAA1,TOT,0.158
2009,Italy,PVTAA1,TOT,0.172
2010,Italy,PVTAA1,TOT,0.178
2011,Italy,PVTAA1,TOT,0.176
2012,Italy,PVTAA1,TOT,0.172
2013,Italy,PVTAA1,TOT,0.174
2006,Italy,ECTOTAL,TOT,12901.00
2007,Italy,ECTOTAL,TOT,13161.00
2008,Italy,ECTOTAL,TOT,13409.00
2009,Italy,ECTOTAL,TOT,13333.00
2010,Italy,ECTOTAL,TOT,13419.00
2011,Italy,ECTOTAL,TOT,13391.00
2012,Italy,ECTOTAL,TOT,13437.00
2013,Italy,ECTOTAL,TOT,13315.00
2014,Italy,ECTOTAL,TOT,13527.00
2015,Italy,ECTOTAL,TOT,13672.00
2016,Italy,ECTOTAL,TOT,13909.00
2017,Italy,ECTOTAL,TOT,14060.00
2018,Italy,ECTOTAL,TOT,14399.00
2008,Italy,ECTOTAL,TOT,13185.00
2009,Italy,ECTOTAL,TOT,13057.00
2010,Italy,ECTOTAL,TOT,13209.00
2011,Italy,ECTOTAL,TOT,13155.00
2012,Italy,ECTOTAL,TOT,13198.00
2013,Italy,ECTOTAL,TOT,13079.00
2006,Italy,TRRSSCTOTAL,TOT,6132.00
2007,Italy,TRRSSCTOTAL,TOT,6545.00
2008,Italy,TRRSSCTOTAL,TOT,6687.00
2009,Italy,TRRSSCTOTAL,TOT,6952.00
2010,Italy,TRRSSCTOTAL,TOT,7084.00
2011,Italy,TRRSSCTOTAL,TOT,7164.00
2012,Italy,TRRSSCTOTAL,TOT,7247.00
2013,Italy,TRRSSCTOTAL,TOT,7313.00
2014,Italy,TRRSSCTOTAL,TOT,7379.00
2015,Italy,TRRSSCTOTAL,TOT,7467.00
2016,Italy,TRRSSCTOTAL,TOT,7635.00
2017,Italy,TRRSSCTOTAL,TOT,7931.00
2018,Italy,TRRSSCTOTAL,TOT,8158.00
2006,Italy,SECTOTAL,TOT,5320.00
2007,Italy,SECTOTAL,TOT,5677.00
2008,Italy,SECTOTAL,TOT,5604.00
2009,Italy,SECTOTAL,TOT,5767.00
2010,Italy,SECTOTAL,TOT,5715.00
2011,Italy,SECTOTAL,TOT,5476.00
2012,Italy,SECTOTAL,TOT,5236.00
2013,Italy,SECTOTAL,TOT,5101.00
2014,Italy,SECTOTAL,TOT,4988.00
2015,Italy,SECTOTAL,TOT,5184.00
2016,Italy,SECTOTAL,TOT,5255.00
2017,Italy,SECTOTAL,TOT,5470.00
2018,Italy,SECTOTAL,TOT,5479.00
2008,Italy,SECTOTAL,TOT,5607.00
2009,Italy,SECTOTAL,TOT,5769.00
2010,Italy,SECTOTAL,TOT,5531.00
2011,Italy,SECTOTAL,TOT,5483.00
2012,Italy,SECTOTAL,TOT,5242.00
2013,Italy,SECTOTAL,TOT,5194.00
2006,Italy,TACTOTAL,TOT,-5810.00
2007,Italy,TACTOTAL,TOT,-6420.00
2008,Italy,TACTOTAL,TOT,-6460.00
2009,Italy,TACTOTAL,TOT,-6541.00
2010,Italy,TACTOTAL,TOT,-6736.00
2011,Italy,TACTOTAL,TOT,-6720.00
2012,Italy,TACTOTAL,TOT,-6909.00
2013,Italy,TACTOTAL,TOT,-6785.00
2014,Italy,TACTOTAL,TOT,-6769.00
2015,Italy,TACTOTAL,TOT,-6805.00
2016,Italy,TACTOTAL,TOT,-6902.00
2017,Italy,TACTOTAL,TOT,-7053.00
2018,Italy,TACTOTAL,TOT,-7149.00
2008,Italy,TACTOTAL,TOT,-6461.00
2009,Italy,TACTOTAL,TOT,-6543.00
2010,Italy,TACTOTAL,TOT,-6663.00
2011,Italy,TACTOTAL,TOT,-6720.00
2012,Italy,TACTOTAL,TOT,-6914.00
2013,Italy,TACTOTAL,TOT,-6876.00
2006,Italy,INCAC1,TOT,17283.00
2007,Italy,INCAC1,TOT,17681.00
2008,Italy,INCAC1,TOT,17728.00
2009,Italy,INCAC1,TOT,17726.00
2010,Italy,INCAC1,TOT,17957.00
2011,Italy,INCAC1,TOT,17418.00
2012,Italy,INCAC1,TOT,17379.00
2013,Italy,INCAC1,TOT,17638.00
2014,Italy,INCAC1,TOT,17416.00
2015,Italy,INCAC1,TOT,17850.00
2016,Italy,INCAC1,TOT,18279.00
2017,Italy,INCAC1,TOT,18461.00
2018,Italy,INCAC1,TOT,18967.00
2008,Italy,INCAC1,TOT,17428.00
2009,Italy,INCAC1,TOT,17372.00
2010,Italy,INCAC1,TOT,17257.00
2011,Italy,INCAC1,TOT,17117.00
2012,Italy,INCAC1,TOT,17086.00
2013,Italy,INCAC1,TOT,17337.00
2006,Italy,INCAC2,TOT,19497.00
2007,Italy,INCAC2,TOT,20234.00
2008,Italy,INCAC2,TOT,20363.00
2009,Italy,INCAC2,TOT,20615.00
2010,Italy,INCAC2,TOT,20656.00
2011,Italy,INCAC2,TOT,20819.00
2012,Italy,INCAC2,TOT,20229.00
2013,Italy,INCAC2,TOT,19866.00
2014,Italy,INCAC2,TOT,20218.00
2015,Italy,INCAC2,TOT,20733.00
2016,Italy,INCAC2,TOT,20821.00
2017,Italy,INCAC2,TOT,21185.00
2018,Italy,INCAC2,TOT,21317.00
2008,Italy,INCAC2,TOT,20075.00
2009,Italy,INCAC2,TOT,20285.00
2010,Italy,INCAC2,TOT,20270.00
2011,Italy,INCAC2,TOT,20543.00
2012,Italy,INCAC2,TOT,19935.00
2013,Italy,INCAC2,TOT,19554.00
2006,Italy,OCCTOTAL,TOT,66.00
2007,Italy,OCCTOTAL,TOT,61.00
2008,Italy,OCCTOTAL,TOT,67.00
2009,Italy,OCCTOTAL,TOT,62.00
2010,Italy,OCCTOTAL,TOT,48.00
2011,Italy,OCCTOTAL,TOT,42.00
2012,Italy,OCCTOTAL,TOT,42.00
2013,Italy,OCCTOTAL,TOT,49.00
2014,Italy,OCCTOTAL,TOT,50.00
2015,Italy,OCCTOTAL,TOT,43.00
2016,Italy,OCCTOTAL,TOT,28.00
2017,Italy,OCCTOTAL,TOT,33.00
2018,Italy,OCCTOTAL,TOT,25.00
2006,Italy,KICTOTAL,TOT,763.00
2007,Italy,KICTOTAL,TOT,905.00
2008,Italy,KICTOTAL,TOT,870.00
2009,Italy,KICTOTAL,TOT,861.00
2010,Italy,KICTOTAL,TOT,942.00
2011,Italy,KICTOTAL,TOT,1096.00
2012,Italy,KICTOTAL,TOT,1071.00
2013,Italy,KICTOTAL,TOT,1099.00
2014,Italy,KICTOTAL,TOT,913.00
2015,Italy,KICTOTAL,TOT,944.00
2016,Italy,KICTOTAL,TOT,955.00
2017,Italy,KICTOTAL,TOT,990.00
2018,Italy,KICTOTAL,TOT,920.00
2006,Italy,PVTAA2,TOT,0.128
2007,Italy,PVTAA2,TOT,0.126
2008,Italy,PVTAA2,TOT,0.127
2009,Italy,PVTAA2,TOT,0.132
2010,Italy,PVTAA2,TOT,0.161
2011,Italy,PVTAA2,TOT,0.135
2012,Italy,PVTAA2,TOT,0.151
2013,Italy,PVTAA2,TOT,0.16
2014,Italy,PVTAA2,TOT,0.155
2015,Italy,PVTAA2,TOT,0.17
2016,Italy,PVTAA2,TOT,0.153
2017,Italy,PVTAA2,TOT,0.16
2018,Italy,PVTAA2,TOT,0.156
2008,Italy,PVTAA2,TOT,0.126
2009,Italy,PVTAA2,TOT,0.133
2010,Italy,PVTAA2,TOT,0.155
2011,Italy,PVTAA2,TOT,0.134
2012,Italy,PVTAA2,TOT,0.151
2013,Italy,PVTAA2,TOT,0.158
2006,Italy,PPPPRC,TOT,0.880221
2007,Italy,PPPPRC,TOT,0.876201
2008,Italy,PPPPRC,TOT,0.847036
2009,Italy,PPPPRC,TOT,0.835814
2010,Italy,PPPPRC,TOT,0.81855
2011,Italy,PPPPRC,TOT,0.819504
2012,Italy,PPPPRC,TOT,0.829154
2013,Italy,PPPPRC,TOT,0.819559
2014,Italy,PPPPRC,TOT,0.82535
2015,Italy,PPPPRC,TOT,0.828574
2016,Italy,PPPPRC,TOT,0.786256
2017,Italy,PPPPRC,TOT,0.777649
2018,Italy,PPPPRC,TOT,0.762285
2008,Italy,PPPPRC,TOT,0.847036
2009,Italy,PPPPRC,TOT,0.834782
2010,Italy,PPPPRC,TOT,0.81816
2011,Italy,PPPPRC,TOT,0.819504
2012,Italy,PPPPRC,TOT,0.829154
2013,Italy,PPPPRC,TOT,0.819559
2006,Italy,INCCTOTAL,TOT,19438.00
2007,Italy,INCCTOTAL,TOT,19979.00
2008,Italy,INCCTOTAL,TOT,20236.00
2009,Italy,INCCTOTAL,TOT,20491.00
