Year,Country,Measure,Age,Value
2009,Austria,TRRCTOTAL,TOT,9073.00
2010,Austria,TRRCTOTAL,TOT,9522.00
2011,Austria,TRRCTOTAL,TOT,9467.00
2012,Austria,TRRCTOTAL,TOT,9588.00
2013,Austria,TRRCTOTAL,TOT,10282.00
2014,Austria,TRRCTOTAL,TOT,10314.00
2015,Austria,TRRCTOTAL,TOT,10411.00
2016,Austria,TRRCTOTAL,TOT,10580.00
2017,Austria,TRRCTOTAL,TOT,10375.00
2018,Austria,TRRCTOTAL,TOT,10778.00
2019,Austria,TRRCTOTAL,TOT,11054.00
2007,Austria,PVTAA4,TOT,0.053
2008,Austria,PVTAA4,TOT,0.054
2009,Austria,PVTAA4,TOT,0.06
2010,Austria,PVTAA4,TOT,0.055
2011,Austria,PVTAA4,TOT,0.061
2012,Austria,PVTAA4,TOT,0.053
2013,Austria,PVTAA4,TOT,0.063
2014,Austria,PVTAA4,TOT,0.072
2015,Austria,PVTAA4,TOT,0.068
2016,Austria,PVTAA4,TOT,0.063
2017,Austria,PVTAA4,TOT,0.066
2018,Austria,PVTAA4,TOT,0.087
2019,Austria,PVTAA4,TOT,0.076
2007,Austria,GINIG,TOT,0.329
2008,Austria,GINIG,TOT,0.327
2009,Austria,GINIG,TOT,0.339
2010,Austria,GINIG,TOT,0.325
2011,Austria,GINIG,TOT,0.329
2012,Austria,GINIG,TOT,0.323
2013,Austria,GINIG,TOT,0.323
2014,Austria,GINIG,TOT,0.319
2015,Austria,GINIG,TOT,0.324
2016,Austria,GINIG,TOT,0.333
2017,Austria,GINIG,TOT,0.322
2018,Austria,GINIG,TOT,0.324
2019,Austria,GINIG,TOT,0.321
2007,Austria,MEDIANC,TOT,21661.00
2008,Austria,MEDIANC,TOT,22945.00
2009,Austria,MEDIANC,TOT,23471.00
2010,Austria,MEDIANC,TOT,23843.00
2011,Austria,MEDIANC,TOT,24391.00
2012,Austria,MEDIANC,TOT,24750.00
2013,Austria,MEDIANC,TOT,25568.00
2014,Austria,MEDIANC,TOT,25932.00
2015,Austria,MEDIANC,TOT,26055.00
2016,Austria,MEDIANC,TOT,27516.00
2017,Austria,MEDIANC,TOT,27677.00
2018,Austria,MEDIANC,TOT,28265.00
2019,Austria,MEDIANC,TOT,29343.00
2007,Austria,PVTAA5,TOT,0.104
2008,Austria,PVTAA5,TOT,0.081
2009,Austria,PVTAA5,TOT,0.074
2010,Austria,PVTAA5,TOT,0.075
2011,Austria,PVTAA5,TOT,0.079
2012,Austria,PVTAA5,TOT,0.092
2013,Austria,PVTAA5,TOT,0.079
2014,Austria,PVTAA5,TOT,0.079
2015,Austria,PVTAA5,TOT,0.076
2016,Austria,PVTAA5,TOT,0.078
2017,Austria,PVTAA5,TOT,0.084
2018,Austria,PVTAA5,TOT,0.078
2019,Austria,PVTAA5,TOT,0.077
2007,Austria,TRPCTOTAL,TOT,-8648.00
2008,Austria,TRPCTOTAL,TOT,-9156.00
2009,Austria,TRPCTOTAL,TOT,-9226.00
2010,Austria,TRPCTOTAL,TOT,-8948.00
2011,Austria,TRPCTOTAL,TOT,-9401.00
2012,Austria,TRPCTOTAL,TOT,-9579.00
2013,Austria,TRPCTOTAL,TOT,-10167.00
2014,Austria,TRPCTOTAL,TOT,-10148.00
2015,Austria,TRPCTOTAL,TOT,-10796.00
2016,Austria,TRPCTOTAL,TOT,-10651.00
2017,Austria,TRPCTOTAL,TOT,-10574.00
2018,Austria,TRPCTOTAL,TOT,-10873.00
2019,Austria,TRPCTOTAL,TOT,-11718.00
2007,Austria,INCAC5,TOT,26484.00
2008,Austria,INCAC5,TOT,28165.00
2009,Austria,INCAC5,TOT,29624.00
2010,Austria,INCAC5,TOT,29880.00
2011,Austria,INCAC5,TOT,31204.00
2012,Austria,INCAC5,TOT,31046.00
2013,Austria,INCAC5,TOT,32626.00
2014,Austria,INCAC5,TOT,32141.00
2015,Austria,INCAC5,TOT,33228.00
2016,Austria,INCAC5,TOT,34478.00
